"To begin, please select your name.",13,21,11,9,16,30,7,25,23,22,31,6,19,3,27,20,4,17,32,12,24,28,14,26,15,1,18,5,29,2,10,8,V34,V35,V36,V37,V38
25,Extremely Trust  3,Neither Distrust Nor Trust  0,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Trust  2,This is my own name.,Trust  2,Slightly Trust  1,Extremely Trust  3,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,Slightly Trust  1,Extremely Trust  3,Slightly Trust  1,Slightly Trust  1,I don't know this person.,Neither Distrust Nor Trust  0,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Extremely Trust  3,Trust  2,Slightly Trust  1,Trust  2,Extremely Trust  3,Slightly Trust  1,Trust  2,13,27,9,24,16
21,Trust  2,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,14,27,4,29,23
10,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,This is my own name.,Trust  2,13,17,19,24,25
24,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Slightly Trust  1,I don't know this person.,This is my own name.,Slightly Trust  1,Slightly Trust  1,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Slightly Trust  1,2,13,6,16,25
31,Extremely Trust  3,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,This is my own name.,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Trust  2,I don't know this person.,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Slightly Trust  1,Slightly Trust  1,18,13,5,29,32
22,Trust  2,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,This is my own name.,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,5,1,29,19,7
26,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Extremely Trust  3,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Extremely Trust  3,Slightly Trust  1,Trust  2,Extremely Trust  3,Extremely Trust  3,I don't know this person.,Slightly Trust  1,Slightly Trust  1,Extremely Trust  3,This is my own name.,Extremely Trust  3,Slightly Trust  1,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,13,30,18,15,25
17,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,2,32,23,16,10
13,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Extremely Trust  3,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Extremely Trust  3,Slightly Trust  1,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Trust  2,2,14,8,18,16
19,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Slightly Trust  1,This is my own name.,Extremely Trust  3,Trust  2,Slightly Trust  1,Extremely Trust  3,Extremely Trust  3,Trust  2,I don't know this person.,Slightly Trust  1,Trust  2,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Slightly Trust  1,11,20,24,10,2
8,Extremely Trust  3,I don't know this person.,Slightly Trust  1,I don't know this person.,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,I don't know this person.,Slightly Trust  1,Neither Distrust Nor Trust  0,I don't know this person.,Trust  2,Slightly Trust  1,Neither Distrust Nor Trust  0,Slightly Trust  1,Slightly Trust  1,Trust  2,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Trust  2,Slightly Trust  1,I don't know this person.,Trust  2,I don't know this person.,I don't know this person.,Extremely Trust  3,I don't know this person.,This is my own name.,18,2,13,30,16
4,Trust  2,Slightly Trust  1,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Extremely Trust  3,Extremely Trust  3,Trust  2,Slightly Trust  1,This is my own name.,Trust  2,Trust  2,I don't know this person.,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Slightly Trust  1,13,5,3,19,16
28,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,I don't know this person.,Neither Distrust Nor Trust  0,This is my own name.,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Extremely Trust  3,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,2,1,19,2,22
18,Trust  2,Neither Distrust Nor Trust  0,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  1,Trust  2,Trust  2,I don't know this person.,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,2,13,30,26,15
7,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,This is my own name.,Slightly Trust  1,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Slightly Trust  1,Neither Distrust Nor Trust  0,Extremely Trust  3,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,Slightly Trust  1,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,2,27,9,3,25
